date,price,supply,subsidy_cumulative,fees_cumulative,realized_cap,realized_price,mvrv,supply_in_profit,coindays_destroyed_cumulative,lth_supply,sth_supply,lth_transfer_volume_cumulative,lth_realized_price,sth_realized_price,lth_realized_profit_cumulative,lth_realized_loss_cumulative,sth_realized_profit_cumulative,sth_realized_loss_cumulative,hash_rate,difficulty,block_subsidy_btc,non_zero_addr_count,addr_count_over_0p001_btc,addr_count_over_0p01_btc,addr_count_over_0p1_btc,utxos_over_1y_old_supply,utxos_over_1y_old_transfer_volume_cumulative,utxos_over_2y_old_supply,utxos_over_2y_old_transfer_volume_cumulative,utxos_over_3y_old_supply,utxos_over_3y_old_transfer_volume_cumulative,utxos_over_4y_old_supply,utxos_over_4y_old_transfer_volume_cumulative,utxos_over_5y_old_supply,utxos_over_5y_old_transfer_volume_cumulative,utxos_over_10y_old_supply,utxos_over_10y_old_transfer_volume_cumulative,subsidy_daily,fees_daily,coindays_destroyed_daily,lth_transfer_volume_daily,lth_realized_profit_daily,lth_realized_loss_daily,sth_realized_profit_daily,sth_realized_loss_daily,utxos_over_1y_old_transfer_volume_daily,utxos_over_2y_old_transfer_volume_daily,utxos_over_3y_old_transfer_volume_daily,utxos_over_4y_old_transfer_volume_daily,utxos_over_5y_old_transfer_volume_daily,utxos_over_10y_old_transfer_volume_daily,market_cap_usd,days_since_genesis,years_since_genesis
2012-06-27,6.49,9327290.21981876,9327440.21981876,5265.27587668,45749257.85,4.9,1.32449,7411331.03086545,1955292183.3653507,6039284.66834445,3288005.55147431,3004229.74982024,4.56,5.53,17569371.86,6147057.25,44283421.26,34857721.99,13989978538134.594,1726566.55919348,49.99995904,712448.0,369290.0,308548.0,180043.0,4055266.06659955,794149.26242778,1620480.02,159576.49,738174.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8149.993499999866,18.18068008999944,2035923.6953876019,2924.913171849679,5044.379999998957,5921.089999999851,55690.12999999523,11308.30000000447,769.1422482000198,0.0,0.0,0.0,0.0,0.0,60534113.526623756,1271.0,3.479808350444901
2012-06-28,6.5,9334140.21731876,9334290.21731876,5281.04409629,45821493.67,4.9,1.326531,7491900.71470759,1957058709.672306,6050526.67837027,3283613.53894849,3006117.3147353,4.56,5.54,17573069.19,6151056.71,44328040.15,34874151.85,11844276308359.35,1726566.55919348,49.99997952,713881.0,369497.0,308554.0,180113.0,4063692.06725482,794653.23922074,1623000.02,159576.49,741204.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6849.9975000005215,15.768219610000415,1766526.3069553375,1887.5649150600657,3697.330000001937,3999.4599999999627,44618.890000000596,16429.859999999404,503.97679296007846,0.0,0.0,0.0,0.0,0.0,60671911.412571944,1272.0,3.482546201232033
2012-06-29,6.52,9341440.21281876,9341590.21281876,5292.88166101,45898539.21,4.91,1.327902,7482287.34402294,1958581592.7261167,6068134.65648264,3273305.55633612,3007904.4988881,4.56,5.56,17575336.19,6157369.46,44367015.77,34879736.27,12530901021887.428,1726566.55919348,49.99996928,715775.0,370807.0,309474.0,180424.0,4081635.19990572,795329.78843966,1624277.4,159576.49,744299.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7299.995500000194,11.837564720000046,1522883.0538105965,1787.1841528001241,2267.0,6312.75,38975.62000000477,5584.420000001788,676.5492189199431,0.0,0.0,0.0,0.0,0.0,60906190.18757831,1273.0,3.485284052019165
2012-06-30,6.58,9348040.20931876,9348190.20931876,5306.82327394,45966569.79,4.91,1.340122,7659437.15771111,1960420300.3520606,6082318.71316538,3265721.49615338,3009632.44587829,4.56,5.57,17577819.98,6164111.77,44398855.92,34882663.51,11329307773213.291,1726566.55919348,49.9999744,718324.0,372298.0,310351.0,180885.0,4094295.16477626,796100.54670201,1626088.4,159576.49,746849.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6599.996500000358,13.941612929999792,1838707.6259438992,1727.9469901900738,2483.789999999106,6742.30999999959,31840.14999999851,2927.2399999946356,770.7582623499911,0.0,0.0,0.0,0.0,0.0,61510104.57731745,1274.0,3.488021902806297
2012-07-01,6.52,9355140.20881876,9355290.20881876,5316.47769386,46033623.13,4.92,1.325203,7323694.71361574,1961613547.4548254,6089320.65321525,3265819.55560351,3011440.24107875,4.56,5.57,17583019.58,6165858.93,44418081.12,34885054.65,12273416754314.398,1726566.55919348,49.99999488,721037.0,372933.0,311317.0,180909.0,4138341.75158198,796780.78212006,1627353.4,159576.49,749599.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7099.999499998987,9.654419919999782,1193247.102764845,1807.7952004601248,5199.599999997765,1747.160000000149,19225.19999999553,2391.140000000596,680.2354180499678,0.0,0.0,0.0,0.0,0.0,60995514.16149831,1275.0,3.490759753593429
2012-07-02,6.61,9362740.20431876,9362890.20431876,5334.84717633,46125600.18,4.92,1.343496,7675771.66579561,1963844879.0597174,6098302.07424907,3264438.13006969,3013200.91997207,4.57,5.59,17585675.19,6168166.99,44465705.48,34891142.01,13045869557033.486,1726566.55919348,49.99996928,723388.0,373609.0,311619.0,180920.0,4144255.46809365,797011.79394528,1629163.4,159576.49,752299.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7599.995500000194,18.36948247000055,2231331.6048920155,1760.6788933197968,2655.6100000031292,2308.0600000005215,47624.359999999404,6087.359999999404,231.0118252200773,0.0,0.0,0.0,0.0,0.0,61887712.75054701,1276.0,3.4934976043805612
2012-07-03,6.44,9370740.20181876,9370890.20181876,5347.20092862,46190329.25,4.92,1.308943,7026766.58120691,1966043754.5398018,6117488.80222407,3253251.39959469,3014770.7738501,4.57,5.59,17586516.75,6169740.5,44504052.4,34916431.08,13732494270561.564,1726566.55919348,49.99998464,724890.0,373891.0,312115.0,180069.0,4153892.0893593,797394.18730121,1631227.9,159576.49,755149.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7999.9975000005215,12.353752289999647,2198875.4800844193,1569.8538780300878,841.5599999986589,1573.5099999997765,38346.92000000179,25289.070000000298,382.39335592999123,0.0,0.0,0.0,0.0,0.0,60347566.89971282,1277.0,3.4962354551676933
2012-07-04,6.44,9378240.19181876,9378390.19181876,5360.48664945,46272809.41,4.93,1.306288,6968396.93952157,1969313385.0396738,6115179.61986874,3263060.57195002,3022143.57194613,4.57,5.6,17606161.88,6177228.31,44542310.99,34933030.79,13146856856569.248,1751454.535340679,49.99993344,724963.0,373111.0,311057.0,179515.0,4173726.83759071,797851.75920121,1633181.9,159576.49,757749.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7499.9900000002235,13.285720830000173,3269630.499871969,7372.798096030019,19645.129999998957,7487.80999999959,38258.590000003576,16599.710000000894,457.5718999999808,0.0,0.0,0.0,0.0,0.0,60395866.83531282,1278.0,3.4989733059548254
2012-07-05,6.6,9385440.18981876,9385590.18981876,5373.13962337,46359238.4,4.93,1.338742,7579904.45444349,1970751601.4017298,6123423.90243655,3262016.28738221,3023413.53841751,4.57,5.62,17607379.97,6178926.67,44587739.43,34938969.66,12624465193394.31,1751454.535340679,49.99998464,725897.0,372876.0,310887.0,179433.0,4181361.96826392,798020.14838413,1634941.9,159576.49,760649.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7199.997999999672,12.652973919999567,1438216.362056017,1269.9664713800885,1218.089999999851,1698.3600000003353,45428.439999997616,5938.869999997318,168.38918291998561,0.0,0.0,0.0,0.0,0.0,61943905.25280382,1279.0,3.5017111567419574
2012-07-06,6.54,9393190.18581876,9393340.18581876,5389.52429548,46429801.16,4.94,1.323887,7297439.52035053,1973578144.0133963,6128388.66206748,3264801.52375128,3028023.39076796,4.57,5.62,17618268.64,6189148.58,44616641.01,34948902.45,13582183242548.361,1751454.535340679,49.9999744,728010.0,373597.0,311482.0,179286.0,4186524.12174543,798885.16992727,1636721.9,159576.49,763099.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7749.995999999344,16.384672109999883,2826542.611666441,4609.852350449655,10888.670000001788,10221.910000000149,28901.579999998212,9932.790000006557,865.0215431400575,0.0,0.0,0.0,0.0,0.0,61431463.81525469,1280.0,3.5044490075290895
