date,price_close,supply,subsidy_cumulative,fees_cumulative,realized_cap,realized_price,mvrv,supply_in_profit,coindays_destroyed_cumulative,lth_supply,sth_supply,lth_transfer_volume_cumulative,lth_realized_price,sth_realized_price,lth_realized_profit_cumulative,lth_realized_loss_cumulative,sth_realized_profit_cumulative,sth_realized_loss_cumulative,hash_rate,difficulty,subsidy_average_24h,addr_count,addrs_over_100k_sats_addr_count,addrs_over_1m_sats_addr_count,addrs_over_10m_sats_addr_count,utxos_over_1y_old_supply,utxos_over_1y_old_transfer_volume_cumulative,utxos_over_2y_old_supply,utxos_over_2y_old_transfer_volume_cumulative,utxos_over_3y_old_supply,utxos_over_3y_old_transfer_volume_cumulative,utxos_over_4y_old_supply,utxos_over_4y_old_transfer_volume_cumulative,utxos_over_5y_old_supply,utxos_over_5y_old_transfer_volume_cumulative,utxos_over_10y_old_supply,utxos_over_10y_old_transfer_volume_cumulative
2012-01-12,6.51,8096199.98999999,8096349.98999999,3240.60955657,41226012.02,5.09,1.278978,5832169.58280367,1463697911.7198892,5010712.73881363,3085487.25118636,2174614.63309427,5.28,4.77,16454237.82,1462208.83,38425021.99,30517859.68,9699378695867.533,1250757.7392746594,50.0,570235.0,277934.0,241030.0,155881.0,2442100.6170332,638917.69,1135804.12,156625.48,12979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-13,6.72,8103199.98999999,8103349.98999999,3250.398461,41382675.69,5.1,1.317647,5908833.47860232,1466223824.0587854,5015477.91592537,3087722.07407462,2176103.66682358,5.29,4.8,16454983.31,1470059.17,38564921.38,30541502.01,8766746128957.193,1250757.7392746594,50.0,570729.0,278416.0,241363.0,156122.0,2449478.0870332,638917.69,1139261.12,156625.48,18579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-14,6.3,8110699.98999999,8110849.98999999,3263.18436454,41469663.97,5.11,1.232877,5544877.58781326,1468126889.2753253,5016755.32488333,3093944.66511666,2178857.07921253,5.29,4.81,16455695.25,1494588.2,38655662.88,30569418.31,9326325669103.398,1250757.7392746594,50.0,571432.0,279106.0,241908.0,156476.0,2471045.4901909,638917.69002678,1142161.12,156625.48,24140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-15,7.15,8117649.98999999,8117799.98999999,3276.61273569,41563494.64,5.12,1.396484,6322276.81668558,1470411178.1665988,5015354.37678362,3102295.61321637,2183928.88535421,5.28,4.84,16457560.9,1536322.76,38755449.4,30582159.43,8642395120035.815,1250757.7392746594,50.0,571678.0,279334.0,242020.0,156718.0,2474327.15256029,638924.79002678,1144661.12,156625.48,30115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-16,7.1,8126349.98999999,8126499.98999999,3315.61803461,41715084.25,5.13,1.384016,6176199.89573761,1472374992.6046093,5053739.97994869,3072610.0100513,2186734.59044183,5.33,4.8,16460425.59,1557630.04,38881129.12,30599104.73,10880713280620.629,1250757.7392746594,50.0,572339.0,279966.0,242509.0,157069.0,2477399.50802717,639125.85002678,1146611.12,156625.48,34865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-17,6.0,8134249.98999999,8134399.98999999,3323.27119079,41868325.73,5.14,1.167315,5336019.24590398,1475882181.4830713,5052962.62505684,3081287.36494315,2192764.71956079,5.33,4.84,16461653.49,1590406.75,39039802.92,30627711.5,9885905209249.602,1250757.7392746594,50.0,573070.0,280664.0,243062.0,157565.0,2501133.50802717,639131.90002678,1148411.12,156625.48,39365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-18,7.1,8140649.97299999,8140799.97299999,3334.11552858,41935568.73,5.15,1.378641,6249909.69624975,1478130076.2091656,5055240.36844953,3085409.60455046,2194836.5966796,5.33,4.84,16464641.71,1597811.68,39138995.53,30696965.21,7958464570968.232,1250757.7392746594,49.99986688,573809.0,281391.0,243609.0,158037.0,2502566.02802717,639582.91002678,1149461.11,157075.49,44115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-19,6.22,8148149.87710466,8148299.87710466,3361.6291253,42064514.88,5.16,1.205426,5467812.53234507,1481100682.3893037,5059278.71100125,3088871.16610341,2195679.68372237,5.34,4.87,16465542.34,1602986.78,39308188.3,30779617.94,9388501173564.088,1250757.7392746594,49.99936512,574440.0,281990.0,244056.0,158497.0,2503605.40802717,639582.91002678,1151061.11,157075.49,48865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-20,6.95,8155399.48698481,8155549.48698481,3386.39604299,42138979.47,5.16,1.346899,6085519.5212436,1482680925.5413983,5060981.08443396,3094418.40255085,2198332.8374342,5.34,4.88,16466110.21,1623438.55,39383751.33,30809426.96,9015448146799.951,1250757.7392746594,49.997312,575217.0,282764.0,244641.0,158950.0,2505955.75802717,639634.92002678,1152311.11,157075.49,53565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-21,6.77,8163599.04744397,8163749.04744397,3391.16630947,42239068.5,5.17,1.309478,5833488.92705547,1483774175.4797468,5067783.45608461,3095815.59135936,2199610.58418833,5.34,4.88,16466755.1,1628749.07,39445490.48,30822976.32,10258958236013.736,1250757.7392746594,49.9973376,575636.0,283162.0,244864.0,159107.0,2507324.63851293,639706.49002678,1155361.11,157075.49,57665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
